Species,Litter_substrate,microsite,Month,initial_mass,Crucible_mass,Sample_cruc_mass,Ash_cruc_mass,nitrogen,carbon,C_N,Ash_free_mass_remaining
Arthraerua leubnitziae ,Grass,Vegetated,8,4.0546,17.24,17.51,17.26,0.502070331,34.25370494,68.22491361,94.23341514
Ectadium rotundifolium ,Grass,Vegetated,4,NA,NA,NA,NA,NA,NA,NA,NA
Arthraerua leubnitziae ,Grass,Unvegetated,4,NA,NA,NA,NA,NA,NA,NA,NA
Ectadium rotundifolium ,Grass,Unvegetated,14,3.4167,42.42,42.69,42.45,0.555470131,47.71601843,85.90204179,76.23159304
Arthraerua leubnitziae ,Grass,Vegetated,8,3.9036,20.15,20.4,20.18,0.442295196,47.73261029,107.9202549,86.22409639
Ectadium rotundifolium ,Grass,Vegetated,14,5.7424,53.54,53.81,53.65,0.527316655,49.24303953,93.3841916,85.41424959
Arthraerua leubnitziae ,Grass,Unvegetated,14,NA,NA,NA,NA,NA,NA,NA,NA
Arthraerua leubnitziae ,Grass,Unvegetated,8,3.9324,17.65,17.9,17.75,0.512627884,41.51856629,80.99162677,59.22289157
Arthraerua leubnitziae ,Grass,Vegetated,8,5.4384,20.15,20.4,20.26,0.460911172,45.54037879,98.80510938,76.44337349
Ectadium rotundifolium ,Grass,Unvegetated,14,3.8003,16.67,16.93,16.75,0.353397534,39.44304839,111.6109894,66.03857739
Arthraerua leubnitziae ,Grass,Vegetated,14,3.5023,18.09,18.36,18.12,0.572046001,48.09486574,84.07517174,93.41365462
Salsola nollothensis,Grass,Unvegetated,14,3.2587,18.09,18.35,18.12,1.308473622,39.26282048,30.00658157,100.7502317
Arthraerua leubnitziae ,Grass,Vegetated,14,3.9526,17.14,17.39,17.17,1.820540477,39.04642409,21.44770994,87.3064257
Arthraerua leubnitziae ,Grass,Unvegetated,8,3.9231,17.25,17.53,17.34,0.380360666,44.49324629,116.9764654,63.81941226
Arthraerua leubnitziae ,Grass,Unvegetated,14,NA,NA,NA,NA,NA,NA,NA,NA
Arthraerua leubnitziae ,Grass,Unvegetated,8,3.3847,17.42,17.68,17.49,0.892714983,41.22894732,46.18377434,62.08420219
Arthraerua leubnitziae ,Grass,Unvegetated,14,3.0587,18.09,18.36,18.11,0.465003931,41.02700205,88.22936607,71.08759111
Arthraerua leubnitziae ,Grass,Unvegetated,14,6.0269,62.11,62.37,62.29,0.384365868,44.54168032,115.8835476,46.54695706
Arthraerua leubnitziae ,Grass,Unvegetated,14,NA,NA,NA,NA,NA,NA,NA,NA
Salsola nollothensis,Grass,Unvegetated,8,3.9342,17.25,17.52,17.32,0.236529418,46.38757285,69.73185238,73.14814815
Arthraerua leubnitziae ,Grass,Vegetated,8,NA,NA,NA,NA,NA,NA,NA,NA
Ectadium rotundifolium ,Grass,Vegetated,8,4.1864,17.99,18.23,18.12,0.618091645,47.89753554,77.49261122,48.16181392
Arthraerua leubnitziae ,Grass,Vegetated,4,3.6615,17.15,17.4,17.21,0.70611708,50.86282803,72.03172028,69.84789157
Salsola nollothensis,Grass,Vegetated,4,4.1392,17.11,17.36,17.12,0.737980686,48.41973452,65.61111346,99.73975904
Salsola nollothensis,Grass,Vegetated,8,3.636,18.76,19.02,18.84,0.646039053,43.46386626,67.27745953,63.18350324
Arthraerua leubnitziae ,Grass,Unvegetated,4,4.7025,53.53,53.79,53.65,0.462378299,52.59988571,113.759417,63.55711307
Salsola nollothensis,Grass,Unvegetated,14,6.2521,20.15,20.4,20.3,0.604340452,50.88422012,84.19793835,62.77208835
Arthraerua leubnitziae ,Grass,Vegetated,4,4.6544,18.76,19.02,18.87,0.781147861,50.58101248,64.75216153,67.40037071
Ectadium rotundifolium ,Grass,Vegetated,14,4.0587,17.11,17.36,17.12,0.493485366,49.29724515,99.89606284,54.64796687
Ectadium rotundifolium ,Grass,Vegetated,14,3.6452,16.69,16.94,16.79,0.443576791,43.52966735,98.13332937,54.89759036
Ectadium rotundifolium ,Grass,Unvegetated,4,3.2038,39.5,39.76,39.54,0.435495644,42.02412473,96.49723329,68.04487179
Ectadium rotundifolium ,Grass,Unvegetated,14,3.23,16.31,16.56,16.33,0.37924043,45.76250713,120.6688515,74.58835341
Salsola nollothensis,Grass,Unvegetated,4,4.1251,17.14,17.38,17.21,0.351816665,42.77109245,121.5721047,73.34201389
Salsola nollothensis,Grass,Unvegetated,4,4.0072,17.18,17.43,17.19,0.392639494,46.86904038,119.3691442,96.55903614
Ectadium rotundifolium ,Grass,Vegetated,8,NA,NA,NA,NA,NA,NA,NA,NA
Salsola nollothensis,Grass,Unvegetated,4,3.7951,42.42,42.68,42.49,0.311619474,43.76250713,120.5721047,69.61200572
